owner,name,fullName,numberOfStars,country,language
kripken,qutebrowser,kripken/qutebrowser,11193,,C
shieldfy,react-native-desktop,shieldfy/react-native-desktop,11188,,
nuxt,terraform,nuxt/terraform,11174,,JavaScript
mattermost,laravel-hackathon-starter,mattermost/laravel-hackathon-starter,11156,,JavaScript
dmlc,img2css,dmlc/img2css,11129,,C++
johncoates,Cpp-Primer,johncoates/Cpp-Primer,11102,,Swift
strongloop,stellar,strongloop/stellar,11084,,JavaScript
aurelia,revisionable,aurelia/revisionable,11063,,JavaScript
scwang90,ng2-dragula,scwang90/ng2-dragula,11010,,
Ramda,Permissions4M,Ramda/Permissions4M,10827,,JavaScript
dmlc,octotree,dmlc/octotree,10753,,C++
elasticsearch,Xamarin-Forms-Labs,elasticsearch/Xamarin-Forms-Labs,10737,,Java
CyC2018,react-canvas,CyC2018/react-canvas,10703,,Java
pixijs,ipfs,pixijs/ipfs,10701,,JavaScript
google,react-native-guide,google/react-native-guide,10692,,PureBasic
junegunn,vue-quill-editor,junegunn/vue-quill-editor,10661,,VimL
home-assistant,space.js,home-assistant/space.js,10636,,Python
Shopify,sharedrop,Shopify/sharedrop,10633,,JavaScript
shadowsocks,microlight,shadowsocks/microlight,10628,,Swift
scala,timesheet.js,scala/timesheet.js,10547,,Scala
REVEL,noduino,REVEL/noduino,10539,,Go
koalaman,DOClever,koalaman/DOClever,10471,,Haskell
resin-io,whereami,resin-io/whereami,10469,,CSS
laravel,jstips,laravel/jstips,10429,,PHP
select2,google-map-react,select2/google-map-react,10382,,JavaScript
rackt,node-telegram-bot-api,rackt/node-telegram-bot-api,10370,,JavaScript
SeleniumHQ,drone,SeleniumHQ/drone,10346,,JavaScript
yudai,fantastic-ios-animation,yudai/fantastic-ios-animation,10340,,Go
sqlmapproject,openui5,sqlmapproject/openui5,10308,,Python
php-fig,Awsome-Front-End-learning-resource,php-fig/Awsome-Front-End-learning-resource,10299,,
labstack,WeiXinMPSDK,labstack/WeiXinMPSDK,10268,,Go
jquery,node-html-pdf,jquery/node-html-pdf,10174,,JavaScript
uikit,relay,uikit/relay,10173,,HTML
v8,huginn,v8/huginn,10154,,C++
emilwallner,gunicorn,emilwallner/gunicorn,10152,,Jupyter Notebook
FFmpeg,alice,FFmpeg/alice,10121,,C
visionmedia,postgrest,visionmedia/postgrest,10112,,JavaScript
tmux,listr,tmux/listr,10104,,C
jadejs,lightsocks,jadejs/lightsocks,10100,,JavaScript
fabric,sandglass,fabric/sandglass,10080,,Python
powerline,restangular,powerline/restangular,10042,,Shell
DrKLO,charts,DrKLO/charts,10006,,C
reactjs,awesome-wasm,reactjs/awesome-wasm,9993,,JavaScript
VundleVim,asm-dom,VundleVim/asm-dom,9982,,VimL
deeplearning4j,games,deeplearning4j/games,9976,,Java
littlecodersh,MagicalRecord,littlecodersh/MagicalRecord,9974,,Python
TeamStuQ,octopus,TeamStuQ/octopus,9944,,HTML
guzzle,login-with,guzzle/login-with,9938,,PHP
